ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
48699a026a67febea375e19c005b1dd4,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,267979,,,
696bda2399f5bbb373de807df4b28050,image.jpg,,image/jpeg,media/image.jpg,,,72450,,,
f39e896c35bf3179c3598f8f4f4867f2,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,253829,,,
chyeju_mp3,mc_jinghpaw_chyeju.mp3,,audio/mpeg,media/mc_jinghpaw_chyeju.mp3,,,3601553,225.07102,chyeju,
chyeju_wav,mc_jinghpaw_chyeju.wav,,audio/x-wav,media/mc_jinghpaw_chyeju.wav,,,39695148,225.02893424036282,chyeju,
chyeju_eaf,mc_jinghpaw_chyeju.eaf,,application/eaf+xml,media/mc_jinghpaw_chyeju.eaf,,,894613,,chyeju,
chyeju_xml,mc_jinghpaw_chyeju.xml,,application/xml,media/mc_jinghpaw_chyeju.xml,,,181480,,chyeju,
chyeju_tsv,mc_jinghpaw_chyeju.tsv,,text/tab-separated-values,media/mc_jinghpaw_chyeju.tsv,,,55600,,chyeju,
dwi_mp3,mc_jinghpaw_dwi.mp3,,audio/mpeg,media/mc_jinghpaw_dwi.mp3,,,8996152,562.233469,dwi,
dwi_wav,mc_jinghpaw_dwi.wav,,audio/x-wav,media/mc_jinghpaw_dwi.wav,,,99170604,562.1913832199547,dwi,
dwi_eaf,mc_jinghpaw_dwi.eaf,,application/eaf+xml,media/mc_jinghpaw_dwi.eaf,,,2389000,,dwi,
dwi_xml,mc_jinghpaw_dwi.xml,,application/xml,media/mc_jinghpaw_dwi.xml,,,481678,,dwi,
dwi_tsv,mc_jinghpaw_dwi.tsv,,text/tab-separated-values,media/mc_jinghpaw_dwi.tsv,,,139590,,dwi,
galang_mp3,mc_jinghpaw_galang.mp3,,audio/mpeg,media/mc_jinghpaw_galang.mp3,,,3310653,206.889796,galang,
galang_wav,mc_jinghpaw_galang.wav,,audio/x-wav,media/mc_jinghpaw_galang.wav,,,36486700,206.84045351473924,galang,
galang_eaf,mc_jinghpaw_galang.eaf,,application/eaf+xml,media/mc_jinghpaw_galang.eaf,,,818668,,galang,
galang_xml,mc_jinghpaw_galang.xml,,application/xml,media/mc_jinghpaw_galang.xml,,,167925,,galang,
galang_tsv,mc_jinghpaw_galang.tsv,,text/tab-separated-values,media/mc_jinghpaw_galang.tsv,,,51049,,galang,
ganu_mp3,mc_jinghpaw_ganu.mp3,,audio/mpeg,media/mc_jinghpaw_ganu.mp3,,,3228672,201.768,ganu,
ganu_wav,mc_jinghpaw_ganu.wav,,audio/x-wav,media/mc_jinghpaw_ganu.wav,,,77467180,201.73733333333334,ganu,
ganu_eaf,mc_jinghpaw_ganu.eaf,,application/eaf+xml,media/mc_jinghpaw_ganu.eaf,,,666186,,ganu,
ganu_xml,mc_jinghpaw_ganu.xml,,application/xml,media/mc_jinghpaw_ganu.xml,,,135602,,ganu,
ganu_tsv,mc_jinghpaw_ganu.tsv,,text/tab-separated-values,media/mc_jinghpaw_ganu.tsv,,,39501,,ganu,
hkaili_mp3,mc_jinghpaw_hkaili.mp3,,audio/mpeg,media/mc_jinghpaw_hkaili.mp3,,,3736136,233.482449,hkaili,
hkaili_wav,mc_jinghpaw_hkaili.wav,,audio/x-wav,media/mc_jinghpaw_hkaili.wav,,,41178412,233.4374603174603,hkaili,
hkaili_eaf,mc_jinghpaw_hkaili.eaf,,application/eaf+xml,media/mc_jinghpaw_hkaili.eaf,,,888747,,hkaili,
hkaili_xml,mc_jinghpaw_hkaili.xml,,application/xml,media/mc_jinghpaw_hkaili.xml,,,181070,,hkaili,
hkaili_tsv,mc_jinghpaw_hkaili.tsv,,text/tab-separated-values,media/mc_jinghpaw_hkaili.tsv,,,55910,,hkaili,
hpaji_mp3,mc_jinghpaw_hpaji.mp3,,audio/mpeg,media/mc_jinghpaw_hpaji.mp3,,,1830660,114.390204,hpaji,
hpaji_wav,mc_jinghpaw_hpaji.wav,,audio/x-wav,media/mc_jinghpaw_hpaji.wav,,,20172588,114.3568253968254,hpaji,
hpaji_eaf,mc_jinghpaw_hpaji.eaf,,application/eaf+xml,media/mc_jinghpaw_hpaji.eaf,,,387469,,hpaji,
hpaji_xml,mc_jinghpaw_hpaji.xml,,application/xml,media/mc_jinghpaw_hpaji.xml,,,79212,,hpaji,
hpaji_tsv,mc_jinghpaw_hpaji.tsv,,text/tab-separated-values,media/mc_jinghpaw_hpaji.tsv,,,24093,,hpaji,
manau_mp3,mc_jinghpaw_manau.mp3,,audio/mpeg,media/mc_jinghpaw_manau.mp3,,,2364394,147.748571,manau,
manau_wav,mc_jinghpaw_manau.wav,,audio/x-wav,media/mc_jinghpaw_manau.wav,,,26057516,147.71809523809523,manau,
manau_eaf,mc_jinghpaw_manau.eaf,,application/eaf+xml,media/mc_jinghpaw_manau.eaf,,,336346,,manau,
manau_xml,mc_jinghpaw_manau.xml,,application/xml,media/mc_jinghpaw_manau.xml,,,69622,,manau,
manau_tsv,mc_jinghpaw_manau.tsv,,text/tab-separated-values,media/mc_jinghpaw_manau.tsv,,,20301,,manau,
natga_mp3,mc_jinghpaw_natga.mp3,,audio/mpeg,media/mc_jinghpaw_natga.mp3,,,3580655,223.764898,natga,
natga_wav,mc_jinghpaw_natga.wav,,audio/x-wav,media/mc_jinghpaw_natga.wav,,,39463724,223.7170068027211,natga,
natga_eaf,mc_jinghpaw_natga.eaf,,application/eaf+xml,media/mc_jinghpaw_natga.eaf,,,537147,,natga,
natga_xml,mc_jinghpaw_natga.xml,,application/xml,media/mc_jinghpaw_natga.xml,,,111891,,natga,
natga_tsv,mc_jinghpaw_natga.tsv,,text/tab-separated-values,media/mc_jinghpaw_natga.tsv,,,31585,,natga,
nchyang_mp3,mc_jinghpaw_nchyang.mp3,,audio/mpeg,media/mc_jinghpaw_nchyang.mp3,,,2281220,142.550204,nchyang,
nchyang_wav,mc_jinghpaw_nchyang.wav,,audio/x-wav,media/mc_jinghpaw_nchyang.wav,,,25138732,142.50956916099773,nchyang,
nchyang_eaf,mc_jinghpaw_nchyang.eaf,,application/eaf+xml,media/mc_jinghpaw_nchyang.eaf,,,524637,,nchyang,
nchyang_xml,mc_jinghpaw_nchyang.xml,,application/xml,media/mc_jinghpaw_nchyang.xml,,,107952,,nchyang,
nchyang_tsv,mc_jinghpaw_nchyang.tsv,,text/tab-separated-values,media/mc_jinghpaw_nchyang.tsv,,,33456,,nchyang,
nga_mp3,mc_jinghpaw_nga.mp3,,audio/mpeg,media/mc_jinghpaw_nga.mp3,,,2839613,177.449796,nga,
nga_wav,mc_jinghpaw_nga.wav,,audio/x-wav,media/mc_jinghpaw_nga.wav,,,31293996,177.4033560090703,nga,
nga_eaf,mc_jinghpaw_nga.eaf,,application/eaf+xml,media/mc_jinghpaw_nga.eaf,,,673873,,nga,
nga_xml,mc_jinghpaw_nga.xml,,application/xml,media/mc_jinghpaw_nga.xml,,,137319,,nga,
nga_tsv,mc_jinghpaw_nga.tsv,,text/tab-separated-values,media/mc_jinghpaw_nga.tsv,,,39304,,nga,
shanngayi_mp3,mc_jinghpaw_shanngayi.mp3,,audio/mpeg,media/mc_jinghpaw_shanngayi.mp3,,,2458434,153.626122,shanngayi,
shanngayi_wav,mc_jinghpaw_shanngayi.wav,,audio/x-wav,media/mc_jinghpaw_shanngayi.wav,,,27095084,153.6,shanngayi,
shanngayi_eaf,mc_jinghpaw_shanngayi.eaf,,application/eaf+xml,media/mc_jinghpaw_shanngayi.eaf,,,554210,,shanngayi,
shanngayi_xml,mc_jinghpaw_shanngayi.xml,,application/xml,media/mc_jinghpaw_shanngayi.xml,,,113766,,shanngayi,
shanngayi_tsv,mc_jinghpaw_shanngayi.tsv,,text/tab-separated-values,media/mc_jinghpaw_shanngayi.tsv,,,36964,,shanngayi,
