corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	chyeju	0001	#	#	#nc	#nc				
jinghpaw	chyeju	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	chyeju	0001	=gaw	=TOP	nc	nc				
jinghpaw	chyeju	0001	chyahkyawn	wolf	nc	nc				
jinghpaw	chyeju	0001	=hte	=COM	nc	nc				
jinghpaw	chyeju	0001	hka-u	water-bird	nc	nc				
jinghpaw	chyeju	0001	=a	=GEN	nc	nc				
jinghpaw	chyeju	0001	lam	story	nc	nc				
jinghpaw	chyeju	0001	nga	call	nc	nc				
jinghpaw	chyeju	0001	rai	COP	nc	nc				
jinghpaw	chyeju	0001	nga	be	nc	nc				
jinghpaw	chyeju	0002	#	#	##	##				
jinghpaw	chyeju	0002	kalang	once	np:other	np		other		
jinghpaw	chyeju	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	chyeju	0002	=hta	=LOC	=rn	=rn				
jinghpaw	chyeju	0002	=sha	=only	=other	=other				
jinghpaw	chyeju	0002	ndai	well	other	other				
jinghpaw	chyeju	0002	chyahkyawn	wolf	np.d:dt_a	np	d	dt_a	101	new
jinghpaw	chyeju	0002	=gaw	=TOP	=other	=other				
jinghpaw	chyeju	0002	shi	3SG	pro.d:a	pro	d	a	101	
jinghpaw	chyeju	0002	=gaw	=TOP	=other	=other				
jinghpaw	chyeju	0002	hka	water	np:p	np		p		
jinghpaw	chyeju	0002	sa	go	lv	lv				
jinghpaw	chyeju	0002	lu	drink	v:pred	v		pred		
jinghpaw	chyeju	0002	=ai	=DECL	=rv	=rv				
jinghpaw	chyeju	0002	nga	LV	other	other				
jinghpaw	chyeju	0002	yang	when	other	other				
jinghpaw	chyeju	0002	=she	=then	=other	=other				
jinghpaw	chyeju	0003	#	#	##	##				
jinghpaw	chyeju	0003	le	down.there	ln_dem	ln_dem				
jinghpaw	chyeju	0003	hka	water	np:dt_l	np		dt_l	102	bridging
jinghpaw	chyeju	0003	=kaw	=LOC	=rn	=rn				
jinghpaw	chyeju	0003	=she	=then	=other	=other				
jinghpaw	chyeju	0003	nga	fish	np:s	np		s	103	new
jinghpaw	chyeju	0003	=ni	=PL	=rn	=rn				
jinghpaw	chyeju	0003	=wa	=TOP	=other	=other				
jinghpaw	chyeju	0003	=she	=then	=other	=other				
jinghpaw	chyeju	0003	le	down.there	dem_pro:l	dem_pro		l	102	
jinghpaw	chyeju	0003	pyau	flit	v:pred	v		pred		
jinghpaw	chyeju	0003	=taw-nga	=CONT-CONT	=aux	=aux				
jinghpaw	chyeju	0004	#	#	##	##				
jinghpaw	chyeju	0004	#	#	#cc:p	#cc		p		
jinghpaw	chyeju	0004	#	#	#ac	#ac				
jinghpaw	chyeju	0004	0	0	0:s	0		s	103	
jinghpaw	chyeju	0004	grai	very	nc	nc				
jinghpaw	chyeju	0004	pyaw	be.happy	nc	nc				
jinghpaw	chyeju	0004	grai	very	other	other				
jinghpaw	chyeju	0004	pyaw	be.happy	v:pred	v		pred		
jinghpaw	chyeju	0004	=taw	=CONT	=aux	=aux				
jinghpaw	chyeju	0004	=na	=SEQ	=other	=other				
jinghpaw	chyeju	0004	%	%	%	%				
jinghpaw	chyeju	0004	0	0	0:s	0		s	103	
jinghpaw	chyeju	0004	nga	be	v:pred	v		pred		
jinghpaw	chyeju	0004	=taw	=CONT	=aux	=aux				
jinghpaw	chyeju	0004	%	%	%	%				
jinghpaw	chyeju	0004	=hpe	=ACC	=rn	=rn				
jinghpaw	chyeju	0004	0	0	0.d:a	0	d	a	101	
jinghpaw	chyeju	0004	mu	see	v:pred	v		pred		
jinghpaw	chyeju	0004	yang	when	other	other				
