corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	galang	0001	#	#	#nc	#nc				
jinghpaw	galang	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	galang	0001	=gaw	=TOP	nc	nc				
jinghpaw	galang	0001	galang	eagle	nc	nc				
jinghpaw	galang	0001	manya	mad	nc	nc				
jinghpaw	galang	0001	tai	become	nc	nc				
jinghpaw	galang	0001	=mat	=COMPL	nc	nc				
jinghpaw	galang	0001	=ai	=DECL	nc	nc				
jinghpaw	galang	0001	la	man	nc	nc				
jinghpaw	galang	0001	langai	one	nc	nc				
jinghpaw	galang	0001	=a	=GEN	nc	nc				
jinghpaw	galang	0001	lam	NC	nc	nc				
jinghpaw	galang	0002	#	#	##	##				
jinghpaw	galang	0002	moi	long.ago	np:other	np		other		
jinghpaw	galang	0002	shawng	before	np:other	np		other		
jinghpaw	galang	0002	=e	=LOC	=rn	=rn				
jinghpaw	galang	0002	=da	=HS	=other	=other				
jinghpaw	galang	0002	ndai	well	other	other				
jinghpaw	galang	0003	la	man	np.h:dt_s	np	h	dt_s	301	new
jinghpaw	galang	0003	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	galang	0003	=gaw	=TOP	=other	=other				
jinghpaw	galang	0003	shan	3DU	pro.h:s	pro	h	s	301	
jinghpaw	galang	0003	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	galang	0003	=gaw	=TOP	=other	=other				
jinghpaw	galang	0003	ndai	well	other	other				
jinghpaw	galang	0003	hkrun-lam	journey-way	np:other	np		other		
jinghpaw	galang	0003	hkawm	walk	v:pred	v		pred		
jinghpaw	galang	0003	=ai	=DECL	=rv	=rv				
jinghpaw	galang	0004	#	#	#nc	#nc				
jinghpaw	galang	0004	bu	trip	nc	nc				
jinghpaw	galang	0004	hkawm	walk	nc	nc				
jinghpaw	galang	0004	=ai	=DECL	nc	nc				
jinghpaw	galang	0004	=i	=SFP	nc	nc				
jinghpaw	galang	0005	#	#	##	##				
jinghpaw	galang	0005	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0005	hpaga	trade	np:other	np		other		
jinghpaw	galang	0005	ga	trade	lv	lv				
jinghpaw	galang	0005	hkawm	walk	v:pred	v		pred		
jinghpaw	galang	0005	=ai	=DECL	=rv	=rv				
jinghpaw	galang	0006	#	#	##	##				
jinghpaw	galang	0006	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0006	dai	that	dem_pro:other	dem_pro		other		
jinghpaw	galang	0006	=hku	=like	=rn	=rn				
jinghpaw	galang	0006	re	COP	other	other				
jinghpaw	galang	0006	=na	=SEQ	=other	=other				
jinghpaw	galang	0006	hkawm	walk	v:pred	v		pred		
jinghpaw	galang	0006	re	LV	other	other				
jinghpaw	galang	0006	yang	when	other	other				
jinghpaw	galang	0006	=she	=then	=other	=other				
jinghpaw	galang	0007	#	#	##	##				
jinghpaw	galang	0007	shan	3DU	pro.h:s	pro	h	s	301	
jinghpaw	galang	0007	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	galang	0007	=gaw	=TOP	=other	=other				
jinghpaw	galang	0007	ndai	well	other	other				
jinghpaw	galang	0007	mare	village	np:g	np		g	302	new
jinghpaw	galang	0007	langai	one	rn_qfr	rn_qfr				
jinghpaw	galang	0007	mi	one	rn_qfr	rn_qfr				
jinghpaw	galang	0007	=kaw	=LOC	=rn	=rn				
jinghpaw	galang	0007	du	arrive	v:pred	v		pred		
jinghpaw	galang	0008	#	#	##	##				
jinghpaw	galang	0008	0	0	0.h:a	0	h	a	301	
jinghpaw	galang	0008	mare	village	np:p	np		p		
jinghpaw	galang	0008	langai	one	rn_qfr	rn_qfr				
jinghpaw	galang	0008	hpang	after	other	other				
jinghpaw	galang	0008	langai	one	rn_qfr	rn_qfr				
jinghpaw	galang	0008	lai	pass	v:pred	v		pred		
jinghpaw	galang	0008	=ai	=DECL	=rv	=rv				
jinghpaw	galang	0008	=i	=SFP	=other	=other				
jinghpaw	galang	0009	#	#	##	##				
jinghpaw	galang	0009	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0009	dai	that	dem_pro:other	dem_pro		other		
jinghpaw	galang	0009	=hku	=like	=rn	=rn				
jinghpaw	galang	0009	re	COP	other	other				
jinghpaw	galang	0009	=na	=SEQ	=other	=other				
jinghpaw	galang	0009	hkawm	walk	v:pred	v		pred		
jinghpaw	galang	0009	=na	=SEQ	=other	=other				
jinghpaw	galang	0010	#	#	##	##				
jinghpaw	galang	0010	0	0	0.h:a	0	h	a	301	
jinghpaw	galang	0010	hpaga	trade	ln_np	ln_np				
jinghpaw	galang	0010	ga	trade	ln_adj	ln_adj				
jinghpaw	galang	0010	=ai	=DECL.NMLZ	=ln	=ln				
jinghpaw	galang	0010	bungli	work	np:p	np		p		
jinghpaw	galang	0010	galaw	do	v:pred	v		pred		
jinghpaw	galang	0010	=na	=SEQ	=other	=other				
jinghpaw	galang	0010	=she	=then	=other	=other				
jinghpaw	galang	0011	#	#	##	##				
jinghpaw	galang	0011	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0011	mare	village	np:g	np		g	303	bridging
jinghpaw	galang	0011	langai	one	rn_qfr	rn_qfr				
jinghpaw	galang	0011	mi	one	rn_qfr	rn_qfr				
jinghpaw	galang	0011	=kaw	=LOC	=rn	=rn				
jinghpaw	galang	0011	du	arrive	v:pred	v		pred		
jinghpaw	galang	0011	yang	when	other	other				
jinghpaw	galang	0011	=gaw	=TOP	=other	=other				
jinghpaw	galang	0012	#	#	##neg	##neg				
jinghpaw	galang	0012	mare	village	np:l	np		l	303	
jinghpaw	galang	0012	dai	that	rn_dem	rn_dem				
jinghpaw	galang	0012	=kaw	=LOC	=rn	=rn				
jinghpaw	galang	0012	=wa	=TOP	=other	=other				
jinghpaw	galang	0012	=she	=then	=other	=other				
jinghpaw	galang	0012	masha	person	np.h:s	np	h	s		
jinghpaw	galang	0012	kadai	who	rn_np	rn_np				
jinghpaw	galang	0012	n-nga	NEG-live	v:pred	v		pred		
jinghpaw	galang	0012	=taw-nga	=CONT-CONT	=aux	=aux				
jinghpaw	galang	0012	=ai	=DECL	=rv	=rv				
jinghpaw	galang	0012	=da	=HS	=other	=other				
jinghpaw	galang	0013	#	#	#nc	#nc				
jinghpaw	galang	0013	masha	person	nc	nc				
jinghpaw	galang	0013	kadai	who	nc	nc				
jinghpaw	galang	0013	=mung	=also	nc	nc				
jinghpaw	galang	0013	n-nga	NEG-live	nc	nc				
jinghpaw	galang	0013	=taw-nga	=CONT-CONT	nc	nc				
jinghpaw	galang	0013	=ai	=DECL	nc	nc				
jinghpaw	galang	0014	#	#	##	##				
jinghpaw	galang	0014	0	0	0:s	0		s	303	
jinghpaw	galang	0014	hpungkraw	vacant.house	np:pred	np		pred		
jinghpaw	galang	0014	rai	COP	cop	cop				
jinghpaw	galang	0014	=taw-nga	=CONT-CONT	=aux	=aux				
jinghpaw	galang	0014	=ai	=DECL	=rv	=rv				
jinghpaw	galang	0015	#	#	##	##				
jinghpaw	galang	0015	0	0	0:s	0		s	303	
jinghpaw	galang	0015	hpungkraw	vacant.house	np:pred	np		pred		
jinghpaw	galang	0015	rai	COP	cop	cop				
jinghpaw	galang	0015	=taw-nga	=CONT-CONT	=aux	=aux				
jinghpaw	galang	0015	yang	when	other	other				
jinghpaw	galang	0015	=she	=then	=other	=other				
jinghpaw	galang	0015	dai	that	nc	nc				
jinghpaw	galang	0016	#	#	#nc	#nc				
jinghpaw	galang	0016	dai	that	nc	nc				
jinghpaw	galang	0016	shan	3DU	nc_pro.h	nc_pro	h		301	
jinghpaw	galang	0016	lahkawng	two	nc	nc				
jinghpaw	galang	0016	=gaw	=TOP	nc	nc				
jinghpaw	galang	0017	#	#	##	##				
jinghpaw	galang	0017	jan	sun	np:s	np		s	313	unused
jinghpaw	galang	0017	=ma	=also	=other	=other				
jinghpaw	galang	0017	du	arrive	v:pred	v		pred		
jinghpaw	galang	0017	=mat	=COMPL	=aux	=aux				
jinghpaw	galang	0017	=s-ai	=CSM-DECL	=rv	=rv				
jinghpaw	galang	0018	#	#	##	##				
jinghpaw	galang	0018	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0018	hkring	rest	lv	lv				
jinghpaw	galang	0018	=ma	=also	=other	=other				
jinghpaw	galang	0018	hkring	rest	v:pred	v		pred		
jinghpaw	galang	0018	=ra	=need	=aux	=aux				
jinghpaw	galang	0018	=s-ai	=CSM-DECL	=rv	=rv				
jinghpaw	galang	0019	#	#	##neg	##neg				
jinghpaw	galang	0019	0	0	0.h:s	0	h	s	301	
jinghpaw	galang	0019	re	COP	other	other				
jinghpaw	galang	0019	yang	when	other	other				
jinghpaw	galang	0019	=she	=then	=other	=other				
jinghpaw	galang	0019	hkawm	walk	lv	lv				
jinghpaw	galang	0019	=ma	=also	=other	=other				
jinghpaw	galang	0019	n-mai	NEG-be.OK	lv	lv				
jinghpaw	galang	0019	hkawm	walk	v:pred	v		pred		
jinghpaw	galang	0019	=s-ai	=CSM-DECL	=rv	=rv				
jinghpaw	galang	0020	#	#	##	##				
jinghpaw	galang	0020	re	COP	other	other				
jinghpaw	galang	0020	nga	be	other	other				
jinghpaw	galang	0020	shan	3DU	pro.h:s_ds	pro	h	s_ds	304	bridging
jinghpaw	galang	0020	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	galang	0020	=gaw	=TOP	=other	=other				
jinghpaw	galang	0020	=i	=SFP	=other	=other				
jinghpaw	galang	0020	#	#	##ds	##ds				
jinghpaw	galang	0020	hkau	friend	np.h:voc	np	h	voc	305	bridging
jinghpaw	galang	0020	=e	=SFP	=other	=other				
jinghpaw	galang	0020	daina	tonight	np:other	np		other		
jinghpaw	galang	0020	=gaw	=TOP	=other	=other				
jinghpaw	galang	0020	ndai	this	dem_pro:s	dem_pro		s	303	
jinghpaw	galang	0020	=gaw	=TOP	=other	=other				
jinghpaw	galang	0020	hpungkraw	vacant.house	np:pred	np		pred		
jinghpaw	galang	0020	=she	=only	=other	=other				
jinghpaw	galang	0020	rai	COP	cop	cop				
jinghpaw	galang	0020	nga	be	other	other				
jinghpaw	galang	0021	#	#	##ds	##ds				
jinghpaw	galang	0021	0	0	0:s	0		s	307	bridging
jinghpaw	galang	0021	nta-shakrang	house-spoiled	np:pred	np		pred		
