corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	hkaili	0001	#	#	#nc	#nc				
jinghpaw	hkaili	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	hkaili	0001	=gaw	=TOP	nc	nc				
jinghpaw	hkaili	0001	num	woman	nc	nc				
jinghpaw	hkaili	0001	kaja	good	nc	nc				
jinghpaw	hkaili	0001	num	woman	nc	nc				
jinghpaw	hkaili	0001	n-kaja	NEG-be.good	nc	nc				
jinghpaw	hkaili	0001	lu	get	nc	nc				
jinghpaw	hkaili	0001	=ai	=DECL	nc	nc				
jinghpaw	hkaili	0001	la	man	nc	nc				
jinghpaw	hkaili	0001	langai	one	nc	nc				
jinghpaw	hkaili	0001	mi	one	nc	nc				
jinghpaw	hkaili	0001	=a	=GEN	nc	nc				
jinghpaw	hkaili	0001	lam	story	nc	nc				
jinghpaw	hkaili	0002	#	#	##	##				
jinghpaw	hkaili	0002	kalang	once	np:other	np		other		
jinghpaw	hkaili	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	hkaili	0002	=na	=GEN	=rn	=rn				
jinghpaw	hkaili	0002	=hta	=LOC	=rn	=rn				
jinghpaw	hkaili	0002	dai	well	other	other				
jinghpaw	hkaili	0002	mare	village	np:dt_l	np		dt_l	501	new
jinghpaw	hkaili	0002	langai	one	rn_qfr	rn_qfr				
jinghpaw	hkaili	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	hkaili	0002	ndai	this	dem_pro:l	dem_pro		l	501	
jinghpaw	hkaili	0002	=kaw	=LOC	=rn	=rn				
jinghpaw	hkaili	0002	gaida	widow	ln_np	ln_np				
jinghpaw	hkaili	0002	hkan	3DU	ln_np.h	ln_np	h		506	new
jinghpaw	hkaili	0002	nu	mother	np.h:s	np	h	s	503	new
jinghpaw	hkaili	0002	=ni	=PL	=rn	=rn				
jinghpaw	hkaili	0002	nga	live	v:pred	v		pred		
jinghpaw	hkaili	0002	=ai	=DECL	=rv	=rv				
jinghpaw	hkaili	0003	#	#	##	##				
jinghpaw	hkaili	0003	gaida	widow	ln_np	ln_np				
jinghpaw	hkaili	0003	hkan	3DU	ln_np.h	ln_np	h		506	
jinghpaw	hkaili	0003	nu	mother	np.h:dt_s	np	h	dt_s	503	
jinghpaw	hkaili	0003	=i	=SFP	=other	=other				
jinghpaw	hkaili	0003	la-kasha	man-child	ln_np.h	ln_np	h		506	
jinghpaw	hkaili	0003	lahkawng	two	ln_qfr	ln_qfr				
jinghpaw	hkaili	0003	magam	first.born.son	ln_np.h	ln_np	h		508	bridging
jinghpaw	hkaili	0003	manaw	second.born.son	ln_np.h	ln_np	h		509	bridging
jinghpaw	hkaili	0003	=hte	=COM	=rn	=rn				
jinghpaw	hkaili	0003	kanu	mother	np.h:s	np	h	s	503	
jinghpaw	hkaili	0003	=hte	=COM	=rn	=rn				
jinghpaw	hkaili	0003	re	COP	other	other				
jinghpaw	hkaili	0003	nga	live	v:pred	v		pred		
jinghpaw	hkaili	0003	=ai	=DECL	=rv	=rv				
jinghpaw	hkaili	0004	#	#	##	##				
jinghpaw	hkaili	0004	shan	3DU	ln_np.h	ln_np	h		506	
jinghpaw	hkaili	0004	nu	mother	np.h:a	np	h	a	503	
jinghpaw	hkaili	0004	=ni	=PL	=rn	=rn				
jinghpaw	hkaili	0004	=gaw	=TOP	=other	=other				
jinghpaw	hkaili	0004	yi	swidden	np:p	np		p		
jinghpaw	hkaili	0004	=sha	=only	=other	=other				
jinghpaw	hkaili	0004	galaw	do	lv	lv				
jinghpaw	hkaili	0004	sha	eat	v:pred	v		pred		
jinghpaw	hkaili	0004	=na	=SEQ	=other	=other				
jinghpaw	hkaili	0004	#	#	##	##				
jinghpaw	hkaili	0004	0	0	0.h:s	0	h	s	502	
jinghpaw	hkaili	0004	nga	live	v:pred	v		pred		
jinghpaw	hkaili	0004	=ai	=DECL	=rv	=rv				
jinghpaw	hkaili	0004	re	COP	other	other				
jinghpaw	hkaili	0005	#	#	##	##				
jinghpaw	hkaili	0005	lani	one.day	np:other	np		other		
jinghpaw	hkaili	0005	mi	one	rn_qfr	rn_qfr				
jinghpaw	hkaili	0005	=hta	=LOC	=rn	=rn				
jinghpaw	hkaili	0005	ndai	this	ln_dem	ln_dem				
jinghpaw	hkaili	0005	kanu	mother	np.h:a	np	h	a	503	
jinghpaw	hkaili	0005	=gaw	=TOP	=other	=other				
jinghpaw	hkaili	0005	grai	very	other	other				
jinghpaw	hkaili	0005	machyi	sickness	np:p	np		p		
jinghpaw	hkaili	0005	kaba	big	rn_adj	rn_adj				
jinghpaw	hkaili	0005	hkrum	receive	v:pred	v		pred		
jinghpaw	hkaili	0005	=na	=SEQ	=other	=other				
jinghpaw	hkaili	0005	=she	=then	=other	=other				
jinghpaw	hkaili	0006	#	#	##neg	##neg				
jinghpaw	hkaili	0006	shi	3SG	pro.h:s	pro	h	s	503	
jinghpaw	hkaili	0006	=gaw	=TOP	=other	=other				
jinghpaw	hkaili	0006	dai	that	dem_pro:other	dem_pro		other	504	new
jinghpaw	hkaili	0006	=hku	=like	=rn	=rn				
jinghpaw	hkaili	0006	n-nga	NEG-be	v:pred	v		pred		
jinghpaw	hkaili	0006	=mat	=COMPL	=aux	=aux				
jinghpaw	hkaili	0006	=na	=SEQ	=other	=other				
jinghpaw	hkaili	0007	#	#	##	##				
jinghpaw	hkaili	0007	0	0	0.h:s	0	h	s	503	
jinghpaw	hkaili	0007	grau	more	other	other				
jinghpaw	hkaili	0007	=na	=SEQ	=other	=other				
jinghpaw	hkaili	0007	madung	face	v:pred	v		pred		
jinghpaw	hkaili	0007	=mat	=COMPL	=aux	=aux				
