corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	hpaji	0001	#	#	#nc	#nc				
jinghpaw	hpaji	0001	maumwi	story	nc	nc				
jinghpaw	hpaji	0001	=a	=GEN	nc	nc				
jinghpaw	hpaji	0001	gabaw	title	nc	nc				
jinghpaw	hpaji	0001	=gaw	=TOP	nc	nc				
jinghpaw	hpaji	0001	chyahkyawn	wolf	nc	nc				
jinghpaw	hpaji	0001	=hte	=COM	nc	nc				
jinghpaw	hpaji	0001	u-hka	bird-crow	nc	nc				
jinghpaw	hpaji	0001	=a	=GEN	nc	nc				
jinghpaw	hpaji	0001	lam	story	nc	nc				
jinghpaw	hpaji	0002	#	#	##	##				
jinghpaw	hpaji	0002	kalang	once	np:other	np		other		
jinghpaw	hpaji	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0002	=na	=GEN	=rn	=rn				
jinghpaw	hpaji	0002	=da	=HS	=other	=other				
jinghpaw	hpaji	0002	ndai	well	other	other				
jinghpaw	hpaji	0003	u-hka	bird-crow	np.d:a	np	d	a	601	new
jinghpaw	hpaji	0003	langai	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0003	mi	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0003	=gaw	=TOP	=other	=other				
jinghpaw	hpaji	0003	masha	person	nc	nc				
jinghpaw	hpaji	0003	=a	=GEN	nc	nc				
jinghpaw	hpaji	0003	shat-gawk	food-room	nc	nc				
jinghpaw	hpaji	0003	langai	one	nc	nc				
jinghpaw	hpaji	0003	mi	one	nc	nc				
jinghpaw	hpaji	0003	=kaw	=LOC	nc	nc				
jinghpaw	hpaji	0004	shinggyim-masha	human-person	ln_np.h:poss	ln_np	h	poss	614	new
jinghpaw	hpaji	0004	=na	=GEN	=ln	=ln				
jinghpaw	hpaji	0004	shat-gawk	food-room	np:l	np		l	602	new
jinghpaw	hpaji	0004	langai	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0004	mi	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0004	=kaw	=LOC	=rn	=rn				
jinghpaw	hpaji	0004	=she	=then	=other	=other				
jinghpaw	hpaji	0004	#	#	#cc:p	#cc		p		
jinghpaw	hpaji	0004	shan-tawng	meat-round	nc	nc				
jinghpaw	hpaji	0004	shan-tawng	meat-round	np:s	np		s	603	new
jinghpaw	hpaji	0004	langai	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0004	mi	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0004	ga	land	np:l	np		l	604	bridging
jinghpaw	hpaji	0004	=kaw	=LOC	=rn	=rn				
jinghpaw	hpaji	0004	hkrat	fall	v:pred	v		pred		
jinghpaw	hpaji	0004	=taw	=CONT	=aux	=aux				
jinghpaw	hpaji	0004	=ai	=DECL.NMLZ	=rv	=rv				
jinghpaw	hpaji	0004	%	%	%	%				
jinghpaw	hpaji	0004	mu	see	v:pred	v		pred		
jinghpaw	hpaji	0004	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0005	#	#	##	##				
jinghpaw	hpaji	0005	shi	3SG	pro.d:a	pro	d	a	601	
jinghpaw	hpaji	0005	=gaw	=TOP	=other	=other				
jinghpaw	hpaji	0005	dai	that	dem_pro:p	dem_pro		p	603	
jinghpaw	hpaji	0005	=hpe	=ACC	=rn	=rn				
jinghpaw	hpaji	0005	#	#	#ac	#ac				
jinghpaw	hpaji	0005	0	0	0.d:s	0	d	s	601	
jinghpaw	hpaji	0005	0	0	0:g	0		g	602	
jinghpaw	hpaji	0005	kalangta	at.once	other	other				
jinghpaw	hpaji	0005	gagat	run	lv	lv				
jinghpaw	hpaji	0005	pyen	fly	lv	lv				
jinghpaw	hpaji	0005	shang	enter	v:pred	v		pred		
jinghpaw	hpaji	0005	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0005	=she	=then	=other	=other				
jinghpaw	hpaji	0005	%	%	%	%				
jinghpaw	hpaji	0006	kalangta	at.once	other	other				
jinghpaw	hpaji	0006	gra-chyit	grasp-grasp	v:pred	v		pred		
jinghpaw	hpaji	0006	rai	LV	other	other				
jinghpaw	hpaji	0006	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0007	#	#	##	##				
jinghpaw	hpaji	0007	0	0	0.d:a	0	d	a	601	
jinghpaw	hpaji	0007	dai	that	dem_pro:p	dem_pro		p	603	
jinghpaw	hpaji	0007	=hpe	=ACC	=rn	=rn				
jinghpaw	hpaji	0007	=she	=then	=other	=other				
jinghpaw	hpaji	0007	makrang	hold	lv	lv				
jinghpaw	hpaji	0007	hpai	carry	v:pred	v		pred		
jinghpaw	hpaji	0007	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0007	=she	=then	=other	=other				
jinghpaw	hpaji	0008	#	#	##	##				
jinghpaw	hpaji	0008	#	#	#ac	#ac				
jinghpaw	hpaji	0008	0	0	0.d:s	0	d	s	601	
jinghpaw	hpaji	0008	grai	very	other	other				
jinghpaw	hpaji	0008	pyaw	be.happy	v:pred	v		pred		
jinghpaw	hpaji	0008	=ai	=DECL.NMLZ	=rv	=rv				
jinghpaw	hpaji	0008	=hte	=COM	=rn	=rn				
jinghpaw	hpaji	0008	%	%	%	%				
jinghpaw	hpaji	0008	0	0	0.d:s	0	d	s	601	
jinghpaw	hpaji	0008	wa	return	v:pred	v		pred		
jinghpaw	hpaji	0008	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0008	=she	=then	=other	=other				
jinghpaw	hpaji	0008	#	#	##	##				
jinghpaw	hpaji	0008	shi	3SG	pro.d:s	pro	d	s	601	
jinghpaw	hpaji	0008	=gaw	=TOP	=other	=other				
jinghpaw	hpaji	0008	hpun-ndung	tree-top	np:g	np		g	605	new
jinghpaw	hpaji	0008	langai	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0008	mi	one	rn_qfr	rn_qfr				
jinghpaw	hpaji	0008	=kaw	=LOC	=rn	=rn				
jinghpaw	hpaji	0008	=sha	=only	=other	=other				
jinghpaw	hpaji	0008	sa	go	v:pred	v		pred		
jinghpaw	hpaji	0008	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0008	#	#	##	##				
jinghpaw	hpaji	0008	0	0	0.d:s	0	d	s	601	
jinghpaw	hpaji	0008	nga	stay	v:pred	v		pred		
jinghpaw	hpaji	0008	=na	=SEQ	=other	=other				
jinghpaw	hpaji	0008	=she	=then	=other	=other				
