corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	manau	0001	#	#	#nc	#nc				
jinghpaw	manau	0001	u-hka	bird-crow	nc	nc				
jinghpaw	manau	0001	chyang	be.black	nc	nc				
jinghpaw	manau	0001	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	manau	0001	lam	reason	nc	nc				
jinghpaw	manau	0002	u-hka	bird-crow	nc	nc				
jinghpaw	manau	0002	=a	=GEN	nc	nc				
jinghpaw	manau	0002	ntsam	color	nc	nc				
jinghpaw	manau	0002	chyang	be.black	nc	nc				
jinghpaw	manau	0002	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	manau	0002	lam	reason	nc	nc				
jinghpaw	manau	0003	#	#	##	##				
jinghpaw	manau	0003	e	well	other	other				
jinghpaw	manau	0003	moi	long.ago	np:other	np		other		
jinghpaw	manau	0003	=de	=LOC	=rn	=rn				
jinghpaw	manau	0003	=da	=HS	=other	=other				
jinghpaw	manau	0004	#	#	#ac	#ac				
jinghpaw	manau	0004	u	bird	np.d:s	np	d	s	701	new
jinghpaw	manau	0004	=ni	=PL	=rn	=rn				
jinghpaw	manau	0004	manau	Manau.dance	np:other	np		other	702	new
jinghpaw	manau	0004	nau	dance	v:pred	v		pred		
jinghpaw	manau	0004	=na	=IRR.NMLZ	=rv	=rv				
jinghpaw	manau	0004	rai	COP	other	other				
jinghpaw	manau	0004	yang	when	other	other				
jinghpaw	manau	0004	%	%	%	%				
jinghpaw	manau	0005	#	#	#ac	#ac				
jinghpaw	manau	0005	0	0	0.d:s	0	d	s	701	
jinghpaw	manau	0005	wora	that	ln_dem	ln_dem				
jinghpaw	manau	0005	manau-poi	Manau-festival	np:g	np		g	703	bridging
jinghpaw	manau	0005	=de	=ALL	=rn	=rn				
jinghpaw	manau	0005	sa	go	v:pred	v		pred		
jinghpaw	manau	0005	=na	=IRR.NMLZ	=rv	=rv				
jinghpaw	manau	0005	matu	in.order	other	other				
jinghpaw	manau	0005	%	%	%	%				
jinghpaw	manau	0006	u	bird	np.d:s	np	d	s	701	
jinghpaw	manau	0006	=ni	=PL	=rn	=rn				
jinghpaw	manau	0006	shada	each.other	other	other				
jinghpaw	manau	0006	shakya	dress.up	v:pred	v		pred		
jinghpaw	manau	0007	#	#	##	##				
jinghpaw	manau	0007	0	0	0.d:s	0	d	s	701	
jinghpaw	manau	0007	e	well	other	other				
jinghpaw	manau	0007	shakya	dress.up	v:pred	v		pred		
jinghpaw	manau	0007	yang	when	other	other				
jinghpaw	manau	0008	#	#	##	##				
jinghpaw	manau	0008	e	well	other	other				
jinghpaw	manau	0008	#	#	#ac	#ac				
jinghpaw	manau	0008	hkamhkam-u	Hkamhkam-bird	np.d:s_ds	np	d	s_ds	704	new
jinghpaw	manau	0008	=gaw	=TOP	=other	=other				
jinghpaw	manau	0009	#	#	##ds.neg	##ds.neg				
jinghpaw	manau	0009	ngai	1SG	pro.1:a	pro	1	a	704	
jinghpaw	manau	0009	=gaw	=TOP	=other	=other				
jinghpaw	manau	0009	#	#	#ds_ac	#ds_ac				
jinghpaw	manau	0009	0	0	0.1:s	0	1	s	704	
jinghpaw	manau	0009	poi	festival	np:g	np		g	703	
jinghpaw	manau	0009	sa	go	v:pred	v		pred		
jinghpaw	manau	0009	=na	=IRR.NMLZ	=rv	=rv				
jinghpaw	manau	0009	matu	in.order	other	other				
jinghpaw	manau	0009	%	%	%	%				
jinghpaw	manau	0009	bu-hpun-palawng	wear-wear-clothes	np:p	np		p		
jinghpaw	manau	0009	n-lu	NEG-get	v:pred	v		pred		
jinghpaw	manau	0009	=ai	=DECL	=rv	=rv				
jinghpaw	manau	0010	#	#	##ds.neg	##ds.neg				
jinghpaw	manau	0010	e	well	other	other				
jinghpaw	manau	0010	nye	1SG.GEN	ln_pro.1:poss	ln_pro	1	poss	704	
jinghpaw	manau	0010	=a	=GEN	=ln	=ln				
jinghpaw	manau	0010	mun	hair	np:s	np		s	705	bridging
jinghpaw	manau	0010	=gaw	=TOP`	=other	=other				
jinghpaw	manau	0010	n-tsawm	NEG-be.beautiful	v:pred	v		pred		
jinghpaw	manau	0010	=ai	=DECL	=rv	=rv				
jinghpaw	manau	0011	#	#	##ds.neg	##ds.neg				
jinghpaw	manau	0011	0	0	0.1:a	0	1	a	704	
jinghpaw	manau	0011	shakya	dress.up	np:p	np		p		
jinghpaw	manau	0011	=mung	=also	=other	=other				
jinghpaw	manau	0011	n-ngut	NEG-finish	v:pred	v		pred		
jinghpaw	manau	0011	=ai	=DECL	=rv	=rv				
jinghpaw	manau	0012	#	#	##ds.neg	##ds.neg				
jinghpaw	manau	0012	dai	that	ln_dem	ln_dem				
jinghpaw	manau	0012	majaw	because	np:other	np		other		
jinghpaw	manau	0012	ngai	1SG	pro.1:s	pro	1	s	704	
jinghpaw	manau	0012	=gaw	=TOP	=other	=other				
jinghpaw	manau	0012	n-sa	NEG-go	v:pred	v		pred		
jinghpaw	manau	0012	=na	=IRR	=rv	=rv				
jinghpaw	manau	0012	#	#	##	##				
jinghpaw	manau	0012	#	#	#ac	#ac				
jinghpaw	manau	0012	0	0	0.h:s	0	h	s	704	
jinghpaw	manau	0012	nga	say	v:pred	v		pred		
jinghpaw	manau	0012	=ai	=DECL	=rv	=rv				
jinghpaw	manau	0012	majaw	because	other	other				
jinghpaw	manau	0012	%	%	%	%				
jinghpaw	manau	0013	0	0	0.d:a_ds	0	d	a_ds	706	
jinghpaw	manau	0013	shi	3SG	pro.d:p	pro	d	p	704	
jinghpaw	manau	0013	=hpe	=ACC	=rn	=rn				
jinghpaw	manau	0013	=gaw	=TOP	=other	=other				
jinghpaw	manau	0014	#	#	##ds	##ds				
jinghpaw	manau	0014	0	0	0.1:s	0	1	s	701	
jinghpaw	manau	0014	oi	INTJ	other	other				
jinghpaw	manau	0014	sa	go	v:pred	v		pred		
jinghpaw	manau	0014	=ga	=HORT	=rv	=rv				
jinghpaw	manau	0014	%	%	%	%				
jinghpaw	manau	0014	ngu	say	v:pred	v		pred		
jinghpaw	manau	0014	=ai	=DECL	=rv	=rv				
jinghpaw	manau	0015	#	#	##ds	##ds				
jinghpaw	manau	0015	0	0	0.1:s	0	1	s	701	
jinghpaw	manau	0015	sa	go	v:pred	v		pred		
jinghpaw	manau	0015	=ga	=HORT	=rv	=rv				
jinghpaw	manau	0015	#	#	##	##				
jinghpaw	manau	0015	0	0	0.d:s_ds	0	d	s_ds	706	
jinghpaw	manau	0015	ngu	say	v:pred	v		pred		
jinghpaw	manau	0015	yang	when	other	other				
jinghpaw	manau	0015	=she	=only	=other	=other				
jinghpaw	manau	0016	#	#	##ds	##ds				
jinghpaw	manau	0016	0	0	0.2:a	0	2	a	706	
jinghpaw	manau	0016	dai	that	dem_pro:other	dem_pro		other		
jinghpaw	manau	0016	rai	COP	other	other				
jinghpaw	manau	0016	yang	when	other	other				
jinghpaw	manau	0016	=gaw	=TOP	=other	=other				
jinghpaw	manau	0016	ngai	1SG	pro.1:p	pro	1	p	704	
jinghpaw	manau	0016	=hpe	=ACC	=rn	=rn				
jinghpaw	manau	0016	bu-hpun-palawng	wear-wear-clothes	np:p2	np		p2		
jinghpaw	manau	0016	shap	lend	v:pred	v		pred		
jinghpaw	manau	0016	=ya	=BEN	=aux	=aux				
jinghpaw	manau	0016	=mi	=IMP	=rv	=rv				
jinghpaw	manau	0016	#	#	##	##				
jinghpaw	manau	0016	0	0	0.d:s_ds	0	d	s_ds	704	
jinghpaw	manau	0016	ngu	say	v:pred	v		pred		
jinghpaw	manau	0016	yang	when	other	other				
jinghpaw	manau	0017	#	#	##ds	##ds				
jinghpaw	manau	0017	0	0	0.1:a	0	1	a	706	
jinghpaw	manau	0017	0	0	0.2:p	0	2	p		
jinghpaw	manau	0017	0	0	0:p2	0		p2		
jinghpaw	manau	0017	ke	INTJ	other	other				
jinghpaw	manau	0017	shap	lend	v:pred	v		pred		
jinghpaw	manau	0017	=ya	=BEN	=aux	=aux				
jinghpaw	manau	0017	=na	=IRR	=rv	=rv				
jinghpaw	manau	0017	#	#	##	##				
jinghpaw	manau	0017	0	0	0.d:s_ds	0	d	s_ds	706	
jinghpaw	manau	0017	ngu	say	v:pred	v		pred		
jinghpaw	manau	0017	=nna	=SEQ	=other	=other				
jinghpaw	manau	0017	=she	=only	=other	=other				
