corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	natga	0001	#	#	#nc	#nc				
jinghpaw	natga	0001	ya	now	nc	nc				
jinghpaw	natga	0001	ndai	this	nc	nc				
jinghpaw	natga	0001	gabaw	title	nc	nc				
jinghpaw	natga	0001	=gaw	=TOP	nc	nc				
jinghpaw	natga	0001	ndai	this	nc	nc				
jinghpaw	natga	0001	maumwi	story	nc	nc				
jinghpaw	natga	0001	=a	=GEN	nc	nc				
jinghpaw	natga	0001	gabaw	title	nc	nc				
jinghpaw	natga	0001	=gaw	=TOP	nc	nc				
jinghpaw	natga	0002	ga	word	nc	nc				
jinghpaw	natga	0002	shaga	speak	nc	nc				
jinghpaw	natga	0002	jaw	correct	nc	nc				
jinghpaw	natga	0002	ra	need	nc	nc				
jinghpaw	natga	0002	=ai	=DECL	nc	nc				
jinghpaw	natga	0002	nga	QUOT	nc	nc				
jinghpaw	natga	0002	nan	INTNS	nc	nc				
jinghpaw	natga	0002	tsun	say	nc	nc				
jinghpaw	natga	0002	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	natga	0002	re	COP	nc	nc				
jinghpaw	natga	0003	a	well	nc	nc				
jinghpaw	natga	0004	#	#	##	##				
jinghpaw	natga	0004	anhte	1PL	pro.1:s_ds	pro	1	s_ds	801	unused
jinghpaw	natga	0004	shinggyim-masha	human.being	np.h:appos	np	h	appos	801	
jinghpaw	natga	0004	=ni	=PL	=rn	=rn				
jinghpaw	natga	0004	=gaw	=TOP	=other	=other				
jinghpaw	natga	0005	e	well	other	other				
jinghpaw	natga	0006	#	#	#ac	#ac				
jinghpaw	natga	0006	#	#	#rc.h:obl	#rc	h	obl		
jinghpaw	natga	0006	tinang	oneself	np.h:s	np	h	s		
jinghpaw	natga	0006	grai	very	other	other				
jinghpaw	natga	0006	hkuhkau	intimate	v:pred	v		pred		
jinghpaw	natga	0006	=ai	=DECL.NMLZ	=rn	=rn				
jinghpaw	natga	0006	%	%	%	%				
jinghpaw	natga	0006	=hte	=COM	=rn	=rn				
jinghpaw	natga	0006	0	0	0.1:s	0	1	s	801	
jinghpaw	natga	0006	shaga	speak	v:pred	v		pred		
jinghpaw	natga	0006	jang	when	other	other				
jinghpaw	natga	0006	%	%	%	%				
jinghpaw	natga	0007	e	INTJ	other	other				
jinghpaw	natga	0007	ning	sister	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0008	e	INTJ	other	other				
jinghpaw	natga	0008	hpu	brother	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0009	e	INTJ	other	other				
jinghpaw	natga	0009	wa	father	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0010	e	INTJ	other	other				
jinghpaw	natga	0010	hkau	friend	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0011	e	INTJ	other	other				
jinghpaw	natga	0011	nu	mother	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0011	nga	QUOT	other	other				
jinghpaw	natga	0011	=na	=SEQ	=other	=other				
jinghpaw	natga	0011	shaga	call	v:pred	v		pred		
jinghpaw	natga	0011	=ra	=need	=aux	=aux				
jinghpaw	natga	0011	=ai	=DECL	=rv	=rv				
jinghpaw	natga	0011	=da	=HS	=other	=other				
jinghpaw	natga	0012	#	#	##	##				
jinghpaw	natga	0012	#	#	#ac	#ac				
jinghpaw	natga	0012	hkau	friend	np.h:voc	np	h	voc		
jinghpaw	natga	0012	=sha	=only	=other	=other				
jinghpaw	natga	0012	0	0	0.1:s	0	1	s	801	
jinghpaw	natga	0012	nga	say	v:pred	v		pred		
jinghpaw	natga	0012	jang	when	other	other				
jinghpaw	natga	0012	=gaw	=TOP	=other	=other				
jinghpaw	natga	0012	%	%	%	%				
jinghpaw	natga	0013	#	#	##ds	##ds				
jinghpaw	natga	0013	0	0	0:s	0		s		
jinghpaw	natga	0013	jasam-ga	foreign-language	np:pred	np		pred		
jinghpaw	natga	0013	re	COP	cop	cop				
jinghpaw	natga	0013	%	%	%	%				
jinghpaw	natga	0013	0	0	0.h:s_ds	0	h	s_ds		
jinghpaw	natga	0013	nga	say	v:pred	v		pred		
jinghpaw	natga	0013	=ma	=PL	=aux	=aux				
jinghpaw	natga	0013	=ai	=DECL	=rv	=rv				
jinghpaw	natga	0014	e	well	other	other				
jinghpaw	natga	0015	#	#	##	##				
jinghpaw	natga	0015	#	#	#ac.neg	#ac.neg				
jinghpaw	natga	0015	e	INTJ	other	other				
jinghpaw	natga	0015	manang-wa	friend	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0016	e	INTJ	other	other				
jinghpaw	natga	0016	ning	sister	pn_np.h:voc	pn_np	h	voc		
jinghpaw	natga	0016	nga	QUOT	other	other				
jinghpaw	natga	0016	0	0	0.1:s_ds	0	1	s_ds	801	
jinghpaw	natga	0016	n-shaga	NEG-call	v:pred	v		pred		
jinghpaw	natga	0016	jang	when	other	other				
jinghpaw	natga	0016	=gaw	=TOP	=other	=other				
jinghpaw	natga	0016	%	%	%	%				
jinghpaw	natga	0017	#	#	##ds	##ds				
jinghpaw	natga	0017	0	0	0:s	0		s		
jinghpaw	natga	0017	nat-ga	spirit-language	np:pred	np		pred		
jinghpaw	natga	0017	re	COP	cop	cop				
jinghpaw	natga	0017	%	%	%	%				
jinghpaw	natga	0017	0	0	0.h:s_ds	0	h	s_ds		
jinghpaw	natga	0017	nga	QUOT	other	other				
jinghpaw	natga	0017	=na	=SEQ	=other	=other				
jinghpaw	natga	0017	tsun	say	v:pred	v		pred		
jinghpaw	natga	0017	=ma	=PL	=aux	=aux				
jinghpaw	natga	0017	=ai	=DECL	=rv	=rv				
jinghpaw	natga	0018	#	#	#nc	#nc				
jinghpaw	natga	0018	0	0	nc	nc				
jinghpaw	natga	0018	ndai	this	nc	nc				
jinghpaw	natga	0018	maumwi	story	nc	nc				
jinghpaw	natga	0018	=hpe	=ACC	nc	nc				
jinghpaw	natga	0018	ning	thus	nc	nc				
jinghpaw	natga	0018	nga	QUOT	nc	nc				
jinghpaw	natga	0018	=ma	=also	nc	nc				
jinghpaw	natga	0018	hkai	tell	nc	nc				
jinghpaw	natga	0018	=ma	=PL	nc	nc				
