corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	nchyang	0001	#	#	#nc	#nc				
jinghpaw	nchyang	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	nchyang	0001	=gaw	=TOP	nc	nc				
jinghpaw	nchyang	0001	ningchyang	servant	nc	nc				
jinghpaw	nchyang	0001	masum	three	nc	nc				
jinghpaw	nchyang	0001	=a	=GEN	nc	nc				
jinghpaw	nchyang	0001	lam	story	nc	nc				
jinghpaw	nchyang	0001	re	COP	nc	nc				
jinghpaw	nchyang	0002	#	#	##	##				
jinghpaw	nchyang	0002	dai	well	other	other				
jinghpaw	nchyang	0002	lani	one.day	np:other	np		other		
jinghpaw	nchyang	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	nchyang	0002	=na	=GEN	=rn	=rn				
jinghpaw	nchyang	0002	ahkying-aten	time-time	np:other	np		other		
jinghpaw	nchyang	0002	=hta	=LOC	=rn	=rn				
jinghpaw	nchyang	0002	=e	=LOC	=rn	=rn				
jinghpaw	nchyang	0002	=da	=HS	=other	=other				
jinghpaw	nchyang	0003	ndai	well	other	other				
jinghpaw	nchyang	0003	la	man	np.h:dt_a	np	h	dt_a	901	new
jinghpaw	nchyang	0003	langai	one	rn_qfr	rn_qfr				
jinghpaw	nchyang	0003	mi	one	rn_qfr	rn_qfr				
jinghpaw	nchyang	0003	=gaw	=TOP	=other	=other				
jinghpaw	nchyang	0003	shi	3SG	pro.h:a	pro	h	a	901	
jinghpaw	nchyang	0003	=gaw	=TOP	=other	=other				
jinghpaw	nchyang	0003	nchyang	servant	np.h:p	np	h	p	902	new
jinghpaw	nchyang	0003	masum	three	rn_qfr	rn_qfr				
jinghpaw	nchyang	0003	shaw	draw	nc	nc				
jinghpaw	nchyang	0003	=da	=RES	nc	nc				
jinghpaw	nchyang	0003	=ai	=DECL	nc	nc				
jinghpaw	nchyang	0003	saw	call	v:pred	v		pred		
jinghpaw	nchyang	0003	=da	=RES	=aux	=aux				
jinghpaw	nchyang	0003	=ai	=DECL	=rv	=rv				
jinghpaw	nchyang	0004	#	#	##	##				
jinghpaw	nchyang	0004	#	#	#ac	#ac				
jinghpaw	nchyang	0004	0	0	0.h:a	0	h	a	902	
jinghpaw	nchyang	0004	hkauna	paddy.field	np:p	np		p	903	new
jinghpaw	nchyang	0004	galaw	do	v:pred	v		pred		
jinghpaw	nchyang	0004	=na	=IRR	=aux	=aux				
jinghpaw	nchyang	0004	matu	in.order	other	other				
jinghpaw	nchyang	0004	%	%	%	%				
jinghpaw	nchyang	0004	0	0	0.h:a	0	h	a	901	
jinghpaw	nchyang	0004	0	0	0.h:p	0	h	p	902	
jinghpaw	nchyang	0004	saw	call	v:pred	v		pred		
jinghpaw	nchyang	0004	=da	=RES	=aux	=aux				
jinghpaw	nchyang	0004	yang	when	other	other				
jinghpaw	nchyang	0004	=she	=then	=other	=other				
