corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	shanngayi	0001	#	#	#nc	#nc				
jinghpaw	shanngayi	0001	E	INTJ	nc	nc				
jinghpaw	shanngayi	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	shanngayi	0001	=gaw	=TOP	nc	nc				
jinghpaw	shanngayi	0001	ndai	well	nc	nc				
jinghpaw	shanngayi	0001	shannga	deer	nc	nc				
jinghpaw	shanngayi	0001	shannga-yi	deer-female	nc	nc				
jinghpaw	shanngayi	0001	=ni	=PL	nc	nc				
jinghpaw	shanngayi	0001	nrung	horn	nc	nc				
jinghpaw	shanngayi	0001	n-tu	NEG-grow	nc	nc				
jinghpaw	shanngayi	0001	=mat	=COMPL	nc	nc				
jinghpaw	shanngayi	0001	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	shanngayi	0001	lam	story	nc	nc				
jinghpaw	shanngayi	0002	#	#	##	##				
jinghpaw	shanngayi	0002	Moi-shawng	long.ago-before	np:other	np		other		
jinghpaw	shanngayi	0002	=de	=ALL	=rn	=rn				
jinghpaw	shanngayi	0002	=da	=HS	=other	=other				
jinghpaw	shanngayi	0002	ndai	well	other	other				
jinghpaw	shanngayi	0002	shannga	deer	np.d:dt	np	d	dt	1101	new
jinghpaw	shanngayi	0002	=ni	=PL	=rn	=rn				
jinghpaw	shanngayi	0002	=gaw	=TOP	=other	=other				
jinghpaw	shanngayi	0002	ayi	female	ln_np.d	ln_np	d		1102	new
jinghpaw	shanngayi	0002	=mada	=also	=ln	=ln				
jinghpaw	shanngayi	0002	ala	male	np.d:appos	np	d	appos	1103	bridging
jinghpaw	shanngayi	0002	=mada	=also	=rn	=rn				
jinghpaw	shanngayi	0002	nrung	horn	np:s	np		s	1104	bridging
jinghpaw	shanngayi	0002	grai	very	other	other				
jinghpaw	shanngayi	0002	tsawm	be.beautiful	v:pred	v		pred		
jinghpaw	shanngayi	0002	=na	=SEQ	=other	=other				
jinghpaw	shanngayi	0002	#	#	##	##				
jinghpaw	shanngayi	0002	0	0	0:s	0		s	1104	
jinghpaw	shanngayi	0002	marenmara	be.equal	other	other				
jinghpaw	shanngayi	0002	re	=LV	=rv	=rv				
jinghpaw	shanngayi	0002	tu	grow	v:pred	v		pred		
jinghpaw	shanngayi	0002	=ai	=DECL	=rv	=rv				
jinghpaw	shanngayi	0002	=da	=HS	=other	=other				
jinghpaw	shanngayi	0003	#	#	##	##				
jinghpaw	shanngayi	0003	0	0	0:s	0		s	1104	
jinghpaw	shanngayi	0003	a-marenmara	ADV-be.equal	v:pred	v		pred		
jinghpaw	shanngayi	0003	re	COP	cop	cop				
jinghpaw	shanngayi	0004	#	#	##	##				
jinghpaw	shanngayi	0004	0	0	0:s	0		s	1104	
jinghpaw	shanngayi	0004	grai	very	other	other				
jinghpaw	shanngayi	0004	=ma	=also	=other	=other				
jinghpaw	shanngayi	0004	kabrim	shine	lv	lv				
jinghpaw	shanngayi	0004	tsawm	be.beautiful	v:pred	v		pred		
jinghpaw	shanngayi	0004	=ai	=DECL	=rv	=rv				
jinghpaw	shanngayi	0004	=i	=SFP	=other	=other				
jinghpaw	shanngayi	0005	#	#	##	##				
jinghpaw	shanngayi	0005	0	0	0:s	0		s	1104	
jinghpaw	shanngayi	0005	dan	thus	other	other				
jinghpaw	shanngayi	0005	re	COP	other	other				
jinghpaw	shanngayi	0005	tu	grow	v:pred	v		pred		
jinghpaw	shanngayi	0005	=ai	=DECL	=rv	=rv				
jinghpaw	shanngayi	0005	=da	=HS	=other	=other				
jinghpaw	shanngayi	0006	#	#	##	##				
jinghpaw	shanngayi	0006	Shaloi	then	other	other				
jinghpaw	shanngayi	0006	=she	=then	=other	=other				
jinghpaw	shanngayi	0006	lani	one.day	np:other	np		other		
jinghpaw	shanngayi	0006	mi	one	rn_qfr	rn_qfr				
jinghpaw	shanngayi	0006	=hta	=LOC	=rn	=rn				
jinghpaw	shanngayi	0006	=she	=then	=other	=other				
jinghpaw	shanngayi	0006	ndai	this	nc	nc				
jinghpaw	shanngayi	0006	ndai	this	ln_dem	ln_dem				
jinghpaw	shanngayi	0006	shaloi	then	np:other	np		other		
jinghpaw	shanngayi	0006	=gaw	=TOP	=other	=other				
jinghpaw	shanngayi	0006	ndai	this	ln_dem	ln_dem				
jinghpaw	shanngayi	0006	shannga-yi	deer-female	ln_np.d	ln_np	d		1107	new
jinghpaw	shanngayi	0006	shannga-wa	deer-male	ln_np.d	ln_np	d		1113	new
jinghpaw	shanngayi	0006	hkan	3DU	ln_pro.d	ln_pro	d		1112	bridging
jinghpaw	shanngayi	0006	wa	father	np.d:s	np	d	s	1108	new
jinghpaw	shanngayi	0006	=ni	=PL	=rn	=rn				
jinghpaw	shanngayi	0006	masum	three	rn_qfr	rn_qfr				
jinghpaw	shanngayi	0006	nga	live	v:pred	v		pred		
jinghpaw	shanngayi	0006	=ai	=DECL	=rv	=rv				
jinghpaw	shanngayi	0006	=da	=HS	=other	=other				
jinghpaw	shanngayi	0007	#	#	##	##				
jinghpaw	shanngayi	0007	0	0	0.d:s	0	d	s	1105	bridging
jinghpaw	shanngayi	0007	langai	one	nc	nc				
jinghpaw	shanngayi	0007	mi	one	nc	nc				
jinghpaw	shanngayi	0007	=gaw	=TOP	nc	nc				
jinghpaw	shanngayi	0007	numsha	woman	ln_np	ln_np				
jinghpaw	shanngayi	0007	lasha	man	ln_np	ln_np				
jinghpaw	shanngayi	0007	=hte	=COM	=ln	=ln				
jinghpaw	shanngayi	0007	gawa	father	np:pred	np		pred		
jinghpaw	shanngayi	0007	=i	=SFP	=other	=other				
jinghpaw	shanngayi	0008	#	#	##	##				
jinghpaw	shanngayi	0008	shan	3DU	nc	nc				
jinghpaw	shanngayi	0008	wa	father	nc_np.d	nc_np	d		1105	
jinghpaw	shanngayi	0008	=ni	=PL	nc	nc				
jinghpaw	shanngayi	0008	shingkra	widower	ln_np.d	ln_np	d			
jinghpaw	shanngayi	0008	hkan	3DU	ln_np.d	ln_np	d			
jinghpaw	shanngayi	0008	wa	father	np.d:s	np	d	s	1105	
jinghpaw	shanngayi	0008	=ni	=PL	=rn	=rn				
jinghpaw	shanngayi	0008	nga	live	v:pred	v		pred		
jinghpaw	shanngayi	0008	=ai	=DECL	=rv	=rv				
jinghpaw	shanngayi	0008	=da	=HS	=other	=other				
jinghpaw	shanngayi	0009	#	#	##	##				
jinghpaw	shanngayi	0009	0	0	0.d:s	0	d	s	1105	
jinghpaw	shanngayi	0009	dai	that	nc	nc				
jinghpaw	shanngayi	0009	=kaw	=LOC	nc	nc				
jinghpaw	shanngayi	0009	=she	=then	nc	nc				
jinghpaw	shanngayi	0009	nga	live	nc	nc				
jinghpaw	shanngayi	0009	maling	forest	np:l	np		l	1106	new
jinghpaw	shanngayi	0009	langai	one	rn_qfr	rn_qfr				
jinghpaw	shanngayi	0009	mi	one	rn_qfr	rn_qfr				
jinghpaw	shanngayi	0009	=kaw	=LOC	=rn	=rn				
jinghpaw	shanngayi	0009	nga	live	v:pred	v		pred		
jinghpaw	shanngayi	0009	re	LV	rv	rv				
jinghpaw	shanngayi	0009	=she	=then	=other	=other				
jinghpaw	shanngayi	0010	#	#	##	##				
jinghpaw	shanngayi	0010	shan	3DU	ln_np	ln_np				
jinghpaw	shanngayi	0010	wa	father	np.d:s	np	d	s	1105	
jinghpaw	shanngayi	0010	=ni	=PL	=rn	=rn				
jinghpaw	shanngayi	0010	grai	very	other	other				
jinghpaw	shanngayi	0010	pyaw	be.happy	lv	lv				
jinghpaw	shanngayi	0010	=na	=SEQ	=lv	=lv				
jinghpaw	shanngayi	0010	nga	live	v:pred	v		pred		
jinghpaw	shanngayi	0011	#	#	##	##				
jinghpaw	shanngayi	0011	0	0	0.d:s	0	d	s	1105	
jinghpaw	shanngayi	0011	grai	very	other	other				
jinghpaw	shanngayi	0011	pyaw	be.happy	vother	vother				
jinghpaw	shanngayi	0011	=na	=SEQ	=other	=other				
jinghpaw	shanngayi	0011	nga	live	v:pred	v		pred		
jinghpaw	shanngayi	0011	re	LV	vother	vother				
jinghpaw	shanngayi	0011	=she	=then	=other	=other				
jinghpaw	shanngayi	0012	#	#	##	##				
jinghpaw	shanngayi	0012	lani	one.day	np:other	np		other		
jinghpaw	shanngayi	0012	mi	one	rn_qfr	rn_qfr				
jinghpaw	shanngayi	0012	=gaw	=TOP	=other	=other				
jinghpaw	shanngayi	0012	ndai	well	other	other				
jinghpaw	shanngayi	0012	shi	3SG.GEN	ln_pro.d:poss	ln_pro	d	poss	1107	
jinghpaw	shanngayi	0012	=na	=GEN	=ln	=ln				
jinghpaw	shanngayi	0012	wa	father	np.d:s_ds	np	d	s_ds	1108	
jinghpaw	shanngayi	0012	=gaw	=TOP	=other	=other				
jinghpaw	shanngayi	0012	dai	well	other	other				
jinghpaw	shanngayi	0012	#	#	##ds	##ds				
jinghpaw	shanngayi	0012	0	0	0.1:s	0	1	s	1108	
jinghpaw	shanngayi	0012	lusha	food	np:p	np		p	1109	new
jinghpaw	shanngayi	0012	tam	look.for	lv	lv				
jinghpaw	shanngayi	0012	sa	go	lv	lv				
jinghpaw	shanngayi	0012	sa	go	v:pred	v		pred		
jinghpaw	shanngayi	0012	=na	=IRR	=aux	=aux				
jinghpaw	shanngayi	0012	%	%	%	%				
jinghpaw	shanngayi	0012	nga	say	v:pred	v		pred		
jinghpaw	shanngayi	0012	=na	=SEQ	=other	=other				
