ID,Source_Referent_ID,Target_Referent_ID,Relation
1,107,101,>
2,107,105,>
3,108,103,<
4,111,101,M
5,112,108,M
6,115,101,M
7,117,114,M
8,204,202,>
9,204,203,>
10,206,202,M
11,206,203,M
12,206,204,M
13,207,202,M
14,207,203,M
15,207,204,M
16,210,209,<
17,212,209,<
18,219,209,<
19,221,210,<
20,229,225,<
21,236,235,M
22,242,241,M
23,243,241,M
24,249,248,<
25,254,254,<
26,255,202,M
27,256,244,<
28,259,202,M
29,261,258,<
30,262,202,M
31,263,244,<
32,264,209,<
33,265,264,<
34,266,202,>
35,266,210,>
36,304,301,<
37,305,301,<
38,309,307,M
39,310,304,M
40,311,314,M
41,403,402,<
42,404,402,<
43,406,402,>
44,411,406,<
45,412,408,M
46,417,406,<
47,418,417,<
48,419,406,<
49,421,406,<
50,421,419,<
51,430,421,<
52,431,429,M
53,503,502,<
54,505,503,M
55,506,502,<
56,508,502,<
57,508,506,<
58,509,502,<
59,509,506,<
60,516,508,>
61,516,515,>
62,522,509,>
63,533,509,>
64,533,516,>
65,533,521,>
66,537,519,<
67,539,508,>
68,539,509,>
69,539,515,>
70,605,615,M
71,609,601,M
72,610,601,M
73,611,601,M
74,616,601,>
75,704,701,<
76,705,704,M
77,706,701,<
78,707,706,M
79,708,704,M
80,802,801,<
81,804,802,<
82,805,802,<
83,809,802,M
84,810,805,M
85,811,804,M
86,1010,1001,>
87,1010,1005,>
88,1102,1101,<
89,1103,1101,<
90,1104,1101,M
91,1105,1101,<
92,1107,1105,<
93,1108,1103,<
94,1108,1105,<
95,1112,1105,<
96,1113,1103,<
97,1113,1105,<
98,1116,1107,M
99,1120,1111,<
100,1122,1107,M
